url,status,in_sitemap,title,title_length,description,description_length,h1,canonical,robots,schema_types,og_image,ga4,gtm,words
https://metapacific.co/services/strategy/,200,True,Strategy | Services | Meta Pacific,34,"Brand audit, positioning, messaging, and a plan that names what the shoot and the page are for.",95,Strategy,https://metapacific.co/services/strategy/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,507
https://metapacific.co/services/virtual-tours/,200,True,Virtual tours | Services | Meta Pacific,39,"Villa, property, and hospitality walkthroughs a buyer can move through before they fly in.",90,Virtual tours and spatial experiences,https://metapacific.co/services/virtual-tours/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,524
https://metapacific.co/services/visual-production/,200,True,Premium visual production | Services | Meta Pacific,51,"Brand films, campaign video, photography, and founder content directed as one look, not a pile of clips.",104,Premium visual production,https://metapacific.co/services/visual-production/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,509
https://metapacific.co/services/web-landing-pages/,200,True,Web and landing pages | Services | Meta Pacific,47,"The page that holds the tour, the film, and the form, with tracking so you can see who actually moved.",102,Web and landing pages,https://metapacific.co/services/web-landing-pages/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,488
https://metapacific.co/solutions.html,200,False,Solutions | Meta Pacific,24,,0,,https://metapacific.co/solutions/,,,,,,10
https://metapacific.co/solutions/,200,True,Solutions | Meta Pacific,24,"Four kinds of client, four different starting points. The stack below is a starting hypothesis for each, not a fixed package.",125,"Built around the problem, not the service list.",https://metapacific.co/solutions/,,,https://metapacific.co/og-image-solutions.png,G-DJQ0V48YK2,,735
https://metapacific.co/terms.html,200,False,Terms | Meta Pacific,20,,0,,https://metapacific.co/terms/,,,,,,10
https://metapacific.co/terms/,200,True,Terms | Meta Pacific,20,Terms for using the Meta Pacific site.,38,Using this site.,https://metapacific.co/terms/,,,https://metapacific.co/og-image.png,G-DJQ0V48YK2,,323
https://metapacific.co/tools/,200,True,Property Launch Scope Estimator | Meta Pacific,46,"Answer five questions about your property launch and get an indicative scope, not a fake quote or an AI guess.",110,See if your launch fits the published offer.,https://metapacific.co/tools/,,,https://metapacific.co/og-image.png,G-DJQ0V48YK2,,273
https://metapacific.co/values.html,200,False,Values | Meta Pacific,21,,0,,https://metapacific.co/values/,,,,,,10
https://metapacific.co/values/,200,True,Our values | Meta Pacific,25,"Purpose, mission, vision, and the six standards we use on every brief.",70,What we stand for.,https://metapacific.co/values/,,,https://metapacific.co/og-image-about.png,G-DJQ0V48YK2,,680
https://metapacific.co/work/,200,True,Work | Meta Pacific,19,"Selected FPV, virtual tour, and property work from Meta Pacific. Developments, land, and villas.",96,"Every project, one archive.",https://metapacific.co/work/,,CollectionPage,https://metapacific.co/og-image.png,G-DJQ0V48YK2,,320
https://metapacific.co/work/01-anjuna-bay/,200,True,Anjuna Bay | Work | Meta Pacific,32,A development that has to be understood before anyone books a flight.,69,Anjuna Bay,https://metapacific.co/work/01-anjuna-bay/,,"CreativeWork, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,370
https://metapacific.co/work/02-3d-renders/,200,True,3D Renders | Work | Meta Pacific,32,A walkthrough of a project that does not exist on site yet.,59,3D Renders,https://metapacific.co/work/02-3d-renders/,,"CreativeWork, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,347
https://metapacific.co/work/03-sakti/,200,True,Sakti Project | Work | Meta Pacific,35,"Land that has to show terrain and access, not just a boundary line.",67,Sakti Project,https://metapacific.co/work/03-sakti/,,"CreativeWork, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,340
https://metapacific.co/work/04-invest-island/,200,True,Invest Island | Work | Meta Pacific,35,A site walkthrough for people who will decide before they stand on the plot.,76,Invest Island,https://metapacific.co/work/04-invest-island/,,"CreativeWork, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,341
https://metapacific.co/work/05-mini-map/,200,True,Mini Map | Work | Meta Pacific,30,"A short aerial orientation so the plot reads as a place, not a pin.",67,Mini Map,https://metapacific.co/work/05-mini-map/,,"CreativeWork, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,329
https://metapacific.co/work/06-sardine-rote/,200,True,Sardine Rote | Work | Meta Pacific,34,A resort that has to feel reachable before anyone commits to the trip.,70,Sardine Rote,https://metapacific.co/work/06-sardine-rote/,,"CreativeWork, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,345
https://metapacific.co/work/07-k-club-ubud/,200,True,K-Club Ubud | Work | Meta Pacific,33,A villa walkthrough you can take before you book the viewing.,61,K-Club Ubud,https://metapacific.co/work/07-k-club-ubud/,,"CreativeWork, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,349
https://metapacific.co/work/08-villa-koh-samui/,200,True,Villa Koh Samui | Work | Meta Pacific,37,"A villa in Koh Samui shown as a path through the property, not a postcard.",74,Villa Koh Samui,https://metapacific.co/work/08-villa-koh-samui/,,"CreativeWork, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,334
